Song-Name,Artists,Genre,Album
Ishaqzaade,"Javed Ali, Shreya Ghoshal",BollywoodDance,Ishaqzaade
Race 2 (Mashup),Multiple,BollywoodDance,Race 2
Allah Ke Bande,Kailash Kher,BollywoodSad,Waisa Bhi Hota Hai
Aisa Jadoo,Sunidhi Chauhan,BollywoodDance,Khakee
Saanson Ki Mala,Kavita Krishnamurthy,BollywoodDance,Koyla
Mar Jayian,"Sunidhi Chauhan, Vishal Dadlani",Bollywood,Vicky Donor
Prabhu Ji,Asees Kaur,BollywoodDevotional,High Jack
Baby Doll (Remix),"Kanika Kapoor, Meet Bros",BollywoodDance,Ragini MMS 2
Aa Tayar Hoja,Sunidhi Chauhan,BollywoodDance,Asoka
Humko Pyaar Hua,"K.K., Tulsi Kumar",BollywoodRomantic,Ready
Jugni Peeke Tight Hai,"Divya Kumar, Kanika Kapoor, Sukriti Kakkar",BollywoodDance,Kis Kisko Pyaar Karoon
Mere Rang Mein Rangne Wali,"Asad Bhopali, S.P. Balasubrahmanyam",BollywoodRomantic,Maine Pyar Kiya
Toh Phir Aao,Mustafa Zahid,BollywoodSad,Awarapan
Ajnabi Mujhko Itna Bata,"Asha Bhosle, Jatin-Lalit, Udit Narayan",BollywoodRomantic,Pyaar To Hona Hi Tha
Dil Dhadakne Do,"Joi Barua, Shankar Mahadevan, Suraj Jagan",Bollywood,Zindagi Na Milegi Dobara
Tu Mere Paas,Ankit Tiwari,BollywoodSad,Wazir
Dhat Teri Ki,"Aditi Singh Sharma, Sanam Puri",BollywoodDance,Dhat Teri Ki
Der Se Aana Jaldi Jaana,"Alka Yagnik, Manhar Udhas",BollywoodDance,Khal Nayak
Jazba,Shilpa Rao,BollywoodDance,
Is This Love – Kahin Na Laage,"Mohit Chauhan, Shreya Ghoshal",BollywoodDance,Kismat Konnection
Bol Radha Bol,Mukesh,BollywoodRomantic,Sangam
Tu Hi Khwahish,Sunidhi Chauhan,BollywoodDance,Once Upon A Time In Mumbaai Dobara
Chak De India,"Marianne D'Cruz, Salim Merchant, Sukhwinder Singh",BollywoodDance,Chak De India
Ruk Ja O Dil Deewane,Udit Narayan,BollywoodRomantic,Dilwale Dulhania Le Jayenge
Nanga Punga Dost,Shreya Ghoshal,BollywoodDance,PK
Tanhayee,Sonu Nigam,BollywoodSad,Dil Chahta Hai
Beat It Bijuriya,"Asees Kaur, Renesa Baadchi",BollywoodDance,Munna Michael
Tum Saath Ho Jab Apne,"Asha Bhosle, Kishore Kumar",BollywoodDance,Kaalia
Most Wanted Munda,"Earl Edgar, Meet Bros",BollywoodDance,Ki & Ka
Mehram,Arijit Singh,BollywoodDance,Kahaani 2
Naina,Rahat Fateh Ali Khan,BollywoodSad,Omkara
Sab Kuchh Bhula Diya,"Sapna Awasthi, Sonu Nigam",BollywoodSad,Hum Tumhare Hain Sanam
Ungli Pe Nachalein,"Dev Negi, Shipra Goyal",BollywoodDance,Ungli
Do Me A Favour Let’s Play Holi,"Anu Malik, Sunidhi Chauhan",BollywoodDance,Waqt- The Race Against Time
Aise Na Mujhe Tum Dekho,Kishore Kumar,BollywoodRomantic,Darling Darling
Kahin Door Jab Din Dhal Jaye,Mukesh,BollywoodRomantic,Anand
Gilehriyaan,Jonita Gandhi,Bollywood,Dangal
Tanha Tanha Yahan Pe Jeena,Asha Bhosle,BollywoodDance,Rangeela
Khwahishein,Shreya Ghoshal,BollywoodRomantic,Heroine
Zindagi Kaisi Hai Paheli,Manna Dey,BollywoodDance,Anand
Sachi Muchi,"Harshdeep Kaur, Mohit Chauhan",BollywoodDance,Sultan
Saawli Saloni Teri,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Hum Sub Chor Hain
Soniye,"K.K., Sunidhi Chauhan",BollywoodRomantic,Aksar
Koi Yeh Kaise Bataye,Jagjit Singh,BollywoodSad,Arth
Dekho Nashe Mein,"K.K., Shaan, Sunidhi Chauhan",BollywoodDance,Race
Mein Sharabi,Yo Yo Honey Singh,BollywoodDance,Cocktail
Ho Sarkay Leo Khattiya Jada Lage,"Kumar Sanu, Poornima",BollywoodRomantic,Raja Babu
Nadiya Chale Chale Re Dhara,Manna Dey,BollywoodDance,Safar
Khatam Kahani,"Jyoti Nooran, Sultana Nooran, Vishal Mishra",Bollywood,Qarib Qarib Single
Jiya Jale,"Lata Mangeshkar, M.G. Sreekumar",BollywoodDance,Dil Se
Manva Likes To Fly,Shalmali Kholgade,BollywoodDance,Tumhari Sulu
Aashayein,"KK, Salim Merchant",BollywoodMotivational,Iqbal
Aur Kya,Abhijeet,BollywoodDanceRomance,
Aisa Kyoon Hota Hai,Alka Yagnik,BollywoodRomantic,Ishq Vishk
Aaja Shaam Hone Aayi,"Lata Mangeshkar, S.P. Balasubrahmanyam",BollywoodDance,Maine Pyar Kiya
Cocktail Mashup,Multiple,BollywoodDance,Cocktail
Teri Mehfil Mein Kismat Azmakar,"Lata Mangeshkar, Shamshad Begum.",BollywoodDance,Mughal-E-Azam
Pandey Jee Seeti,"Mamta Sharma, Shreya Ghoshal, Wajid",BollywoodDance,Dabangg 2
Ye Jawaani Teri,"Jonita Gandhi, Nakash Aziz",BollywoodDance,Meri Pyaari Bindu
Ghar Aaja Pardesi,,BollywoodDance,Dilwale Dulhania Le Jayenge
Kitaben Bahut Si,"Asha Bhosle, Vinod Rathod",BollywoodDance,Baazigar
Jahan Teri Yeh Nazar Hai,Kishore Kumar,BollywoodDance,Kaalia
Namak Paare,"Anupam Amod, Mamta Sharma",BollywoodDance,Raja Natwarlal
Nazdeekiyan,"Neeti Mohan, Nikhil Paul George",BollywoodRomantic,Shaandaar
Jhumritalaiyya,"Arijit Singh, Mohan Kanan",BollywoodDance,Jagga Jasoos
Pyar Dilon Ka Mela Hai,"Alka Yagnik, Sonu Nigam",BollywoodDanceRomantic,Dulhan Hum Le Jaayenge
Aap Ki Ankhon Mein Kuch,"Kishore Kumar, Lata Mangeshkar",BollywoodRomantic,Ghar
Haawa Haawa,Mohit Chauhan,BollywoodDance,Rockstar
Baatein Ye Kabhi Na (Female),Palak Muchhal,BollywoodRomantic,Khamoshiyan
Lakh Lakh,Neeraj Shridhar,BollywoodDance,Kambakkht Ishq
Yari Hai Imaan Mera,Manna Dey,BollywoodDance,Zanjeer
O Mere Sanam,"Lata Mangeshkar, Mukesh",BollywoodSad,Sangam
Daag,Sukhwinder Singh,BollywoodSad,Bhoomi
Koi Kahe Kehta Rahe,"K.K., Shaan, Shankar Mahadevan",BollywoodDance,Dil Chahta Hai
Mere Khayalon Ki Malika,Abhijeet,BollywoodRomance,Josh
Krazzy 4,Vishal Dadlani,BollywoodDance,Krazzy 4
Sun Zara,Adnan Sami,BollywoodRomantic,Lucky
Zinda Rehti Hain Mohabbatein,"Lata Mangeshkar, Udit Narayan",BollywoodSad,Mohabbatein
Titliyan,Sunidhi Chauhan,BollywoodDance,Rocky Handsome
Jeete Hain Chal,Kavita Seth,BollywoodSad,Neerja
Hum Tum,"Alka Yagnik, Babul Supriyo",BollywoodRomantic,Hum Tum
Yun Hi Chala Chal,"Hariharan, Kailash Kher, Udit Narayan",BollywoodDance,Swades
Dooriyan,Mohit Chauhan,BollywoodSad,Love Aj Kal
Yeh Hum Aa Gaye Hain Kahaan,"Lata Mangeshkar, Udit Narayan",BollywoodRomantic,Veer Zaara
Yaar Na Miley (Remix),"Jasmine Sandlas, Yo Yo Honey Singh",BollywoodDance,Kick
Yaar Naa Miley (Remix),"Jasmine Sandlas, Yo Yo Honey Singh",BollywoodDance,Kick
Joganiyan,Shruti Haasan,BollywoodRomantic,Tevar
Huzur Is Kadar,"Bhupinder Singh, Suresh Wadkar",BollywoodDance,Masoom
Aye Zindagi Gale Lagaa Le,Suresh Wadkar,BollywoodRomantic,Sadma
Surmayee Ankhiyon Mein,"Ilaiyaraaja, K.J. Yesudas",BollywoodRomantic,Sadma
Meri Ada Bhi,"Rahat Fateh Ali Khan, Tulsi Kumar",BollywoodDanceRomantic,Ready
Waada Raha Sanam,"Abhijeet, Alka Yagnik",BollywoodDanceRomantic,Khiladi
Tumse Hi Tumse,"Caralisa Monteiro, Shekhar Ravjiani",BollywoodRomantic,Anjaana Anjaani
"Gori Ka Sajan, Sajan Ki Gori","Mohammad Aziz, S. Janaki",BollywoodDance,Aakhree Raasta
Falak Dekhun,Sonu Nigam,BollywoodDance,Garam Masala
Shikdum,"Shaan, Shreya Ghoshal",BollywoodDanceRomantic,Dhoom
Bezubaan,K.K.,BollywoodRomantic,Laali Ki Shaadi Mein Laaddoo Deewana
Mere Bina Tu (Duet Version),"Harshdeep Kaur, Pritam",BollywoodSad,Phata Poster Nikhla Hero
Alisha,"Anushka Manchanda, Salim Merchant",BollywoodDance,Pyaar Impossible
Aaj Kal Yaad Kuch Aur Rehta Nahin,Mohammad Aziz,BollywoodRomantic,Nagina
Dil Kho Gaya,"Anuradha Paudwal, Udit Narayan",BollywoodRomantic,Dil
Sun Soniye,"Antara Mitra, Mohammed Irfan",BollywoodRomantic,Ajab Gazabb Love
Baadal,Sunidhi Chauhan,BollywoodSad,Akira
Ae Mere Humsafar,"Alka Yagnik, Vinod Rathod",BollywoodRomantic,Baazigar
Idhar Chala Mein Udhar Chala,"Alka Yagnik, Udit Narayan",BollywoodDance,Koi Mil Gaya
Kise Dhoondta Hai Pagal Sapare,Anuradha Paudwal,BollywoodDance,Nigahen
Mere Dushman Mere Bhai,Hariharan,BollywoodSad,Border
Aye Meri Zohra Jabeen,Manna Dey,BollywoodDance,Waqt
Aye Dil Laaya Hai Bahaar,"Hariharan, Kavita Krishnamurthy",BollywoodDance,Kya Kehna
Bad Baby,"Badshah, Gippy Grewal",BollywoodDance,Second Hand Husband
Dil Kyun Yeh Mera,K.K.,BollywoodRomantic,Kites
Tum Se Milke,"Asha Bhosle, Suresh Wadkar",BollywoodRomantic,Parinda
Dhup Chik,"Badshah, Raftaar",BollywoodDance,Fugly
Aadha Ishq,"Natalie Di Luccio, Shreya Ghoshal",BollywoodRomantic,Band Baaja Baaraat
Pink Lips (Remix),Khushboo Grewal,BollywoodDance,Hate Story 2
Paathshaala,"Blaaze, Mohammed Aslam, Naresh Iyer",BollywoodDance,Rang De Basanti
Ala Barfi,Mohit Chauhan,BollywoodDance,Barfi
Kudi Tu Butter,Yo Yo Honey Singh,BollywoodDance,Bajatey Raho
Churiyan Kanak Gayee,"Ila Arun, Lata Mangeshkar, Moinuddin Manchala",BollywoodDance,Lamhe
Kapoor & Sons (Mashup),Multiple,BollywoodDance,Kapoor & Sons
Mujhse Dosti Karoge,"Alka Yagnik, Asha Bhosle, Udit Narayan",BollywoodRomantic,Mujhse Dosti Karoge!
Hum To Dil Se Haare,"Alka Yagnik, Udit Narayan",BollywoodSad,Josh
Soniye,K.K.,BollywoodRomantic,Heartless
Albela Sajan,"Kavita Krishnamurthy, Shankar Mahadevan, Ustad Sultan Khan",BollywoodDance,Hum Dil De Chuke Sanam
Ehsan Tera Hoga Mujh Par,Mohammed Rafi,BollywoodRomantic,Junglee
Rola Pe Gaya,"Earl D'Souza, Hard Kaur, Mahadevan, Mahalakshmi Iyer, Master Saleem, Shankar",BollywoodDance,Patiala House
Bande Mein Tha Dum… Vande Mataram,"Pranab Biswas, Shreya Ghoshal, Sonu Nigam",BollywoodDance,Lage Raho Munna Bhai
Jawani Janeman,Asha Bhosle,BollywoodDance,Namak Halaal
Yahi Hota Pyaar,"Himesh Reshammiya, Sunidhi Chauhan",BollywoodSad,Namastey London
Jawani Janeman,Asha Bhosle,BollywoodDance,Namak Halaal
Aa Aa E Ooh Ooh Ooh Mera Dil Na Todo,Abhijeet,BollywoodDance,Raja Babu
Main To Raste Se Ja Raha Tha,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Coolie No. 1
Awaarapan Banjarapan,M. M. Keeravani,BollywoodDance,Jism
Yeh Raat Aur Yeh Doori,"Asha Bhosle, S.P. Balasubrahmanyam",BollywoodDance,Andaz Apna Apna
Mere Dil Jigar Se Guzree Hai,"Alka Yagnik, Kumar Sanu",BollywoodDance,Soldier
Yeh Dil Jo Hai Badmaash Hai,"Mohit Chauhan, Monali Thakur, Shreya Ghoshal",BollywoodDance,Phir Se
Saawali Si Raat,Arijit Singh,BollywoodRomantic,Barfi
Aaankhein Milayenge Darr Se,"K. Mohan, Neha Bhasin",BollywoodDance,Neerja
Ishq Vishq,"Kamaal khan, Sunidhi Chauhan, Suzanne D'Mello",BollywoodRomantic,Wanted
Hoshwalon Ko Khabar Kya,Jagjit Singh,BollywoodSad,Sarfarosh
Ghoomar,"K.K., Sunidhi Chauhan",BollywoodDance,Chup Chup Ke
Dil Mere,Kumar Sanu,BollywoodDance,Sooryavansham
Mujhe Haq Hai,"Shreya Ghoshal, Udit Narayan",BollywoodRomantic,Vivah
Musafir,Tushar Joshi,BollywoodRomantic,Jagga Jasoos
Chalak Chalak,"Shreya Ghoshal, Udit Narayan, Vinod Rathod",BollywoodDance,Devdas
Subah Subah,"Shekhar Ravjiani, Vishal Dadlani, Zubeen Garg",BollywoodDance,I See You
Pyar Kar,"Lata Mangeshkar, Udit Narayan",BollywoodRomantic,Dil To Pagal Hai
O Jaana Na Jaana,"Kumar Sanu, Lata Mangeshkar",BollywoodRomantic,Jab Pyar Kisisi Se Hota Hai
Mhare Hiwra Main Nache Mor,"Alka Yagnik, Anuradha Paudwal, Hariharan, Kavita Krishnamurthy, Kumar Sanu, Udit Narayan",BollywoodDance,Hum Saath-Saath Hain
Raitaa Phail Gayaa,Divya Kumar,BollywoodDance,Shaandaar
Tere Bina,Rahat Fateh Ali Khan,BollywoodRomantic,Tezz
Sava Dollar (Lavni),Sunidhi Chauhan,BollywoodDance,Aiyyaa
Baba Meri Yeh Jawani,Falguni Pathak,BollywoodDance,Ghaath
Deewana Main Chala,Udit Narayan,BollywoodDance,Pyaar Kiya To Darna Kya
Zindagi Ki Yahi Reet Hai,Kishore Kumar,BollywoodDance,Mr. India
Chak De,"Sadhana Sargam, Sonu Nigam",BollywoodDance,Hum Tum
Sirf Tum,"Anuradha Paudwal, Hariharan",BollywoodDance,Sirf Tum
Chhaliya,"Piyush Mishra, Sunidhi Chauhan",Bollywood,Tashan
Dum Dum Diga Diga,Mukesh,BollywoodDance,Chhalia
Aankhon Ne Tumhari,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Ishq Vishk
Janam Janam,Atif Aslam,Bollywood,Phata Poster Nikhla Hero
Tanha Tanha,"Aditi Paul, Jubin Nautiyal",BollywoodRomantic,Dil Jo Na Keh Saka
Heer,"Mahalakshmi, Mika Singh",BollywoodRomantic,Baa Baaa Black Sheep
Wat Wat Wat,"Arijit Singh, Shashwat Singh",BollywoodDance,Tamasha
Tanha Tanha Ghum Ke Dhunde Dil,"Aditi Paul, Jubin Nautiyal",BollywoodRomantic,Dil Jo Na Keh Saka
Pyar Ki Raahen,Shaan,BollywoodSad,Bewafaa
Aap Ki Khatir,Himesh Reshammiya,BollywoodRomantic,Aap Ki Khatir
Saat Rang Mein Khel Rahi Hain,"Amit Kumar, Anuradha Paudwal",BollywoodDance,Aakhir Kyon
Jaadoo Jaadoo,"Adnan Sami, Alka Yagnik",BollywoodDance,Koi Mil Gaya
Yaadon Mein,"Cuca Roseta, Jonita Gandhi, Mohammed Irfan",BollywoodSad,Jab Harry Met Sejal
Dil Deewana Bin Sajna Ke,S.P. Balasubrahmanyam,BollywoodDance,Maine Pyar Kiya
Chori Chori Chupke Chupke,"Alka Yagnik, Babul Supriyo",BollywoodDance,Chori Chori Chupke Chupke
Behene De,"Karthik, Mohammed Irfan",BollywoodDance,Raavan
O Re Kanchi,"Alka Yagnik, Shaan",BollywoodDance,Asoka
Rasiya,Shruti Pathak,BollywoodSensual,Kurbaan
Meri Zindagi Ek Pyaas,"Jaspinder Narula, Shankar Mahadevan",BollywoodSad,Judaai
Tum Jo Aaye,Rahat Fateh Ali Khan,BollywoodRomantic,Once Upon A Time In Mumbai
Laal Ishq,Arijit Singh,BollywoodSad,Goliyon Ki Rasleela Ram-leela
Tujhe Jeevan Ki Dor Se,"Lata Mangeshkar, Mohammed Rafi",BollywoodRomantic,Asli Naqli
Aao Bachho Tumhe Dikhaye,Kavi Pradeep,BollywoodPatriotic,Jagriti
Mujhse Mohabbat Ka,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Hum Hain Rahi Pyaar Ke
Mujhe Pyaar Hua,"Abhijeet, Alka Yagnik",BollywoodDance,Judaai
Satarangi Re,"Kavita Krishnamurthy, Sonu Nigam",BollywoodDance,Dil Se
Mann Ki Lagan,Rahat Fateh Ali Khan,BollywoodSad,Paap
Dil Na Jaane Kyun,"Anushka Manchanda, Atif Aslam",BollywoodDance,Jayantabhai Ki Luv Story
Usne Bola Kem Che,"Bali Brahmbhatt, Sunidhi Chauhan",BollywoodDance,Jis Desh Main Ganga Rehta Hai
Sajna Ve Sajna,Sunidhi Chauhan,BollywoodDance,Chameli
Mera Yaar,Javed Bashir,BollywoodRomantic,Bhaag Milkha Bhaag
Jiyein Kyun,Papon,BollywoodSad,Dum Maaro Dum
Dil Ki Hai Tamanna,"Neha Bhasin, Shalini Singh, Vijay Prakash",BollywoodDance,Force
Dum Duma Dum,"Anuradha Paudwal, Udit Narayan",BollywoodDance,Dil
Dil Chahta Hai,Shankar Mahadevan,BollywoodDance,Dil Chahta Hai
Aai Pappi – Tu Hai Meri Soniye,Neeraj Shridhar,BollywoodDance,Kismat Konnection
Where’s the Party Tonight,"Loy Mendonsa, Shaan, Shankar Mahadevan, Vasundhara Das",BollywoodDance,Kabhi Alvida Naa Kehna
Prem Jaal Mein,"Anuradha Sriram, Sukhwinder Singh",BollywoodDanceRomantic,Jis Desh Mein Ganga Rehta Hai
Boi Boi,"Arun Bakshi, Vinod Rathod",BollywoodDance,Laadla
Jeevan Se Bhari Teri Ankhen,Kishore Kumar,BollywoodRomantic,Safar
Teri Pyari Pyari Soorat Ko,Mohammed Rafi,BollywoodRomantic,Sasural
Bas Ek Kinng,"Hard Kaur, Jaaved Jaffrey, Neeraj Shridhar",BollywoodDance,Singh Is Kingh
Jeena Yahan Marna Yahan,Mukesh,BollywoodSad,Mera Naam Joker
Banarasiya,"Anwesshaa, Meenal Jain, Shreya Ghoshal",BollywoodRomantic,Raanjhanaa
What’s Going On?,"Kunal Ganjawala, Sunidhi Chauhan",BollywoodDance,Salaam Namaste
Aye Watan Aye Watan,"Jaspinder Narula, Sukhwinder Singh, Udit Narayan",BollywoodPatriotic,Hindustan Ki Kasam
Dulhan Hum Le Jayenge,"Alka Yagnik, Kumar Sanu, Sunita Rao",BollywoodRomantic,Dulhan Hum Le Jayenge
Aa Bhi Ja Sanam,Atif Aslam,BollywoodSad,Prince
Salaam Namaste,"Kunal Ganjawala, Vasundhara Das",BollywoodDance,Salaam Namaste
Mar Jaava,"Merchant, Shruti Pathak",BollywoodSensual,Faraar
Koi Jaye To Le Aaye,"Alka Yagnik, Anu Malik, Shankar Mahadevan",BollywoodDance,Ghatak
Tumhi Dekho Naa,"Alka Yagnik, Sonu Nigam",BollywoodRomantic,Kabhi Alvida Naa Kehna
Sau Dard,"Sonu Nigam, Suzanne",BollywoodSad,Jaan-E-Mann
Piya Milenge,Sukhwinder Singh,BollywoodSad,Raanjhanna
Chandan Sa Badan,Mukesh,BollywoodRomantic,Saraswatichandra
Kyun (Duet),"Shaan, Shreya Ghoshal",BollywoodSad,Kambakkht Ishq
Alcoholic,Yo Yo Honey Singh,BollywoodDance,The Shaukeens
Jis Gali Mein Tera Ghar,Mukesh,BollywoodRomantic,Kati Patang
Kurbaan Hua,Vishal Dadlani,BollywoodDance,Kurbaan
Nagada Nagada,"Javed Ali, Sonu Nigam",BollywoodDance,Jab We Met
Main Tujhse Pyaar Nahin Karta,Papon,BollywoodSad,Baby
Ishq Tera,"Shreya Ghoshal, Sonu Nigam",BollywoodRomantic,Ishq Tera
Oh Jaaniya,"Raj Pandit, Salim Merchant, Shreya Ghoshal",BollywoodRomantic,Wedding Pullav
Jab Kisiki Taraf Dil,Kumar Sanu,BollywoodRomantic,Pyaar To Hona Hi Tha
Aye Meri Zindagi – Male Version,"Shreya Ghoshal, Udit Narayan",BollywoodSad,Saaya
Jiya Lage Na,"Ravindra Upadhyay, Sona Mohapatra",BollywoodRomantic,Talaash
Paas Woh Aane Lage,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Main Khiladi Tu Anari
Jaane Tere Shehar Ka,Vipin Aneja,Bollywood,Jazbaa
Pee Paa Pee Paa,Diljit Dosanjh,BollywoodDance,Tere Naal Love Ho Gaya
Ada,Sonu Nigam,BollywoodDance,Garam Masala
Chupke Chupke Ghoor Na Mujhko,"Anu Malik, Udit Narayan, Vinod Rathod",Bollywood,The Gambler
Pag Ghungaru Bandh,Kishore Kumar,BollywoodDance,Namak Halaal
Dekho Zara Kaise Balkhake Chali,Gurdas Maan,BollywoodDance,Sirf Tum
Aap Ki Kashish,Himesh Reshammiya,BollywoodRomantic,Aashiq Banaya Aapne
Happy Budday,"Shankar Mahadevan, Sukhwinder Singh",BollywoodDance,Kill Dil
Hudd Hudd Dabangg,"Sukhwinder Singh, Wajid",BollywoodDance,Dabangg
Bhool Bhulaiyaa,Neeraj Shridhar,BollywoodDance,Bhool Bhulaiyaa
Tere Mast Mast Do Nain,"Rahat Fateh Ali Khan, Shreya Ghoshal",BollywoodRomantic,Dabangg
Jai Ho Tiltle Song,"Armaan Malik, Wajid",BollywoodDance,Jai Ho
High Heels Te Nachche (Remix),"Aditi Singh Sharma, Jaz Dhami, Meet Bros",BollywoodDance,Ki & Ka
Zinda,Sunidhi Chauhan,Bollywood,Naam Shabana
Shukran Allah,"Salim Merchant, Shreya Ghoshal, Sonu Nigam",BollywoodRomantic,Kurbaan
Tere Naina,"Shankar Mahadevan, Shreya Ghoshal",BollywoodRomantic,Chandni Chowk To China
Mere Mehboob Qayamat Hogi,Kishore Kumar,BollywoodSad,Mr.X In Bombay
Saad Shukrana,Ankit Tiwari,BollywoodRomantic,Mr. X
Honeymoon Ki Raat,Sunidhi Chauhan,BollywoodDance,The Dirty Picture
Sadda Dil Vi Tu,Hard Kaur,BollywoodDance,ABCD - Any Body Can Dance
Yeh Jo Halki Halki Khumariya,Rahat Fateh Ali Khan,BollywoodRomantic,Son of Sardaar
Aye Khuda,"Kshitij Tarey, Mithoon, Saim Bhat",BollywoodSad,Murder 2
Main Hoon Na,Abhijeet,BollywoodSad,Main Hoon Na
Hum To Tere Aashiq Hain,"Lata Mangeshkar, Mukesh",BollywoodRomantic,Farz
Jugnu Ki Payal,"Shaswati, Zubeen Garg",BollywoodDance,Aan - Men At Work
Woh Ladki Bahut Yaad Aati,"Alka Yagnik, Kumar Sanu",Bollywood,Qayamat
Jai Mata Di,"Alamgir Khan, Javed Ali",BollywoodDevotional,Nanu Ki Jaanu
Mera Piya Ghar Aaya,Kavita Krishnamurthy,BollywoodDance,Yaraana
Khushiyon Ka Din Aaya Hai,Anuradha Paudwal,BollywoodDance,Beta
Sooraj Ki Baahon Mein,"Clinton Cerejo, D Cerejo, Loy Mendonsa",BollywoodDance,Zindagi Na Milegi Dobara
Kuch Toh Hua Hai,Ankit Tiwari,BollywoodRomantic,Singham Returns
Rabba Main Toh Mar Gaya Oye,Shahid Mallya,BollywoodRomantic,Mausam
Theher Ja (Remix),Armaan Malik,BollywoodRomantic,October
Jiya Maine Jiya,"Alka Yagnik, Udit Narayan",BollywoodRomantic,Khushi
Kuch To Hua Hai,"Alka Yagnik, Shaan",BollywoodDance,Kal Ho Naa Ho
Angelina,Sonu Nigam,BollywoodRomantic,Baa Baaa Black Sheep
Dhoom Again,"Dominique Crezo, Vishal Dadlani",BollywoodDance,Dhoom 2
Dhinka Chika (Remix),"Amrita Kak, Mika Singh",BollywoodDance,Ready
Tu Milade,Ankit Tiwari,BollywoodDance,All is Well
Thoda Thoda Pyar,Sunidhi Chauhan,BollywoodDance,Love Aj Kal
O Mere Raja,"Asha Bhosle, Kishore Kumar",BollywoodDance,Johny Mera Naam
Gela Gela Gela,"Adnan Sami, Sunidhi Chauhan",BollywoodDance,Aitraaz
Ik Tu Hi Tu Hi,Hans Raj Hans,BollywoodDevotional,Mausam
Sultan (Mashup),Multiple,BollywoodDance,Sultan
Kitni Hasrat Hain Humein,"Kumar Sanu, Sadhana Sargam",BollywoodRomantic,Sainik
Aa Jaana Aa Jaana,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Coolie No. 1
Har Dil Jo Pyar Karega,"Lata Mangeshkar, Mahendra Kapoor, Mukesh",BollywoodDance,Sangam
Tere Mere Beech Mein,"Mohit Chauhan, Sunidhi Chauhan",BollywoodRomantic,Shuddh Desi Romance
Ye Ladki Nahin Banaras Ka Paan,"Bela Sulakhe, Sonu Nigam",BollywoodDance,Khullam Khulla Pyaar Karen
Kai Baar Yun Bhi Dekha Hai,Mukesh,BollywoodRomantic,Rajnigandha
Pakeezah,Gulraj Singh,Bollywood,Ungli
Dam Bhar Jo Udhar Munh Phere,"Lata Mangeshkar, Mukesh",BollywoodDance,Awaara
Bade Armanon Se,"Lata Mangeshkar, Mukesh",BollywoodDance,Malhar
Challa Chaap Chunariya,Rekha Bhardwaj,Bollywood,Daas Dev
Chal Akela Chal Akela,Mukesh,BollywoodDance,Sambandh
De De Pyaar De,Kishore Kumar,BollywoodDance,Sharaabi
Behti Hawa Sa Tha Woh,"Shaan, Shantanu Moitra",BollywoodSad,3 Idiots
Dil Ye Dancer Ho Gaya,Atif Aslam,Bollywood,Actor In Law
Mor Bani Thanghat Kare,"Aditi Paul, Osman Mir",BollywoodDance,Ram-Leela
Gore Gore Se,Alka Yagnik,BollywoodDance,Hum Tum
Sanam Teri Kasam (Reprise),"Mohammed Irfan, Palak Muchhal",BollywoodSad,Sanam Teri Kasam
School Ke Din,Sonu Nigam,BollywoodDance,Always Kabhi Kabhi
Yeh Mera Prem Patra,Mohammed Rafi,BollywoodRomantic,Sangam
Jiska Koi Nahin,Manna Dey,BollywoodMotivational,Laawaris
Chalo Ek Bar Phir Se,Mahendra Kapoor,BollywoodSad,Gumrah
Kab Ke Bichhde Hue,"Asha Bhosle, Kishore Kumar",BollywoodRomantic,Laawaris
Aaj Ibaadat,"Altamash Faridi, Javed Bashir, Shadab Faridi, Shashi Suman, Shreyas Puranik",BollywoodDevotional,Bajirao Mastani
Peepal Ke Patwa,"Jaspinder Narula, Sonu Nigam",BollywoodDance,Sooryavansham
Pukarta Chala Hoon Main,Mohammed Rafi,Bollywood,Mere Sanam
Meri Bindiya Teri Nindiya,Lata Mangeshkar,BollywoodRomantic,Lamhe
Ranga Re,Shreya Ghoshal,BollywoodDance,Tutak Tutak Tutiya
Kaun Kisi Ko Baandh Saka,Mohammed Rafi,BollywoodDance,Kaalia
Dekhiye Aji Jaaneman,"Alka Yagnik, Udit Narayan",BollywoodRomantic,Kya Kehna
Jis Desh Mein Ganga Rehta Hai,Abhijeet,BollywoodDance,Jis Desh Mein Rehta Hai
Kambal Ke Neeche,"Aaman Trikha, Aishwarya Majmudar, Neeti Mohan, Sanchita Bhattachayra",BollywoodDance,Kaanchi
Maine Tere Liye,Mukesh,BollywoodDance,Anand
Teri Zulfon Se Judai To,Mohammed Rafi,BollywoodRomantic,Jab Pyar Kisi Se Hota Hai
Salamat Rahe Dostana Hamara,"Kishore Kumar, Mohammed Rafi",Bollywood,Dostana
Humne Ghar Choda Hai,"Sadhana Sargam, Udit Narayan",BollywoodRomantic,Dil
Teri Bindiya Re,"Lata Mangeshkar, Mohammed Rafi",BollywoodRomantic,Abhimaan
Barbaad Raat,"Sanam Puri, Shalmali Kholgade",BollywoodDance,Humshakals
